Size,Type,InstanceID,Repetition,Algorithm,Threads,TimeMS
30,strongly_correlated,38,0,Parallel,12,0.7682
30,strongly_correlated,39,0,SequentialOptimized,1,0.9243
30,strongly_correlated,39,0,Parallel,4,0.7337
30,strongly_correlated,39,0,Parallel,6,1.0491
30,strongly_correlated,39,0,Parallel,12,0.8736
30,strongly_correlated,40,0,SequentialOptimized,1,119.966
30,strongly_correlated,40,0,Parallel,4,35.1208
30,strongly_correlated,40,0,Parallel,6,23.5671
30,strongly_correlated,40,0,Parallel,12,17.2452
30,strongly_correlated,41,0,SequentialOptimized,1,0.4119
30,strongly_correlated,41,0,Parallel,4,0.663
30,strongly_correlated,41,0,Parallel,6,0.5084
30,strongly_correlated,41,0,Parallel,12,0.8117
30,strongly_correlated,42,0,SequentialOptimized,1,0.0473
30,strongly_correlated,42,0,Parallel,4,0.5905
30,strongly_correlated,42,0,Parallel,6,0.7479
30,strongly_correlated,42,0,Parallel,12,1.5468
30,strongly_correlated,43,0,SequentialOptimized,1,0.0514
30,strongly_correlated,43,0,Parallel,4,0.4932
30,strongly_correlated,43,0,Parallel,6,0.77
30,strongly_correlated,43,0,Parallel,12,1.3598
30,strongly_correlated,44,0,SequentialOptimized,1,0.2954
30,strongly_correlated,44,0,Parallel,4,0.597
30,strongly_correlated,44,0,Parallel,6,0.432
30,strongly_correlated,44,0,Parallel,12,0.7511
30,strongly_correlated,45,0,SequentialOptimized,1,3.4725
30,strongly_correlated,45,0,Parallel,4,1.703
30,strongly_correlated,45,0,Parallel,6,1.5133
30,strongly_correlated,45,0,Parallel,12,2.6777
30,strongly_correlated,46,0,SequentialOptimized,1,6.8842
30,strongly_correlated,46,0,Parallel,4,2.3344
30,strongly_correlated,46,0,Parallel,6,1.7994
30,strongly_correlated,46,0,Parallel,12,2.4525
30,strongly_correlated,47,0,SequentialOptimized,1,0.0161
30,strongly_correlated,47,0,Parallel,4,0.6617
30,strongly_correlated,47,0,Parallel,6,0.3106
30,strongly_correlated,47,0,Parallel,12,0.5961
30,strongly_correlated,48,0,SequentialOptimized,1,128.827
30,strongly_correlated,48,0,Parallel,4,37.6898
30,strongly_correlated,48,0,Parallel,6,24.4521
